customer_id,age,tenure_months,churn,avg_logins,avg_active_minutes,total_tickets,tickets_resolved,total_payments,failed_payments,avg_payment,support_resolution_ratio,failed_payment_ratio,gender_Male,segment_Premium,segment_Standard,tenure_bucket_7-12,tenure_bucket_13-24,tenure_bucket_25+
CUST_00000,59,30,0,13.6,593.4,2.0,1.0,3.0,0.0,60.18666666666667,0.499999750000125,0.0,True,True,False,False,False,True
CUST_00001,26,24,0,16.2,628.2,1.0,1.0,2.0,0.0,83.735,0.9999990000010001,0.0,False,False,True,False,True,False
CUST_00002,51,48,0,15.5,585.0,2.0,2.0,1.0,0.0,85.42,0.99999950000025,0.0,True,False,True,False,False,True
CUST_00003,67,55,0,12.5,776.0,0.0,0.0,0.0,0.0,80.1685,0.0,0.0,True,False,True,False,False,True
CUST_00004,38,52,1,16.0,487.5,2.0,2.0,2.0,0.0,91.095,0.99999950000025,0.0,True,False,True,False,False,True
CUST_00005,25,38,0,18.6,695.8,1.0,1.0,0.0,0.0,80.1685,0.9999990000010001,0.0,False,True,False,False,False,True
CUST_00006,39,67,0,15.666666666666666,648.1666666666666,1.0,1.0,2.0,1.0,110.55,0.9999990000010001,0.499999750000125,True,False,False,False,False,False
CUST_00007,46,8,0,14.571428571428571,590.4285714285714,0.0,0.0,0.0,0.0,80.1685,0.0,0.0,True,False,False,True,False,False
CUST_00008,62,29,0,15.333333333333334,603.3333333333334,2.0,1.0,2.0,0.0,64.86,0.499999750000125,0.0,True,False,False,False,False,True
CUST_00009,56,10,0,16.5,605.5,0.0,0.0,0.0,0.0,80.1685,0.0,0.0,False,True,False,True,False,False
CUST_00010,67,69,1,5.0,577.0,4.0,3.0,4.0,0.0,72.665,0.7499998125000469,0.0,True,False,False,False,False,False
CUST_00011,26,68,1,13.0,465.0,0.0,0.0,1.0,0.0,67.63,0.0,0.0,True,False,True,False,False,False
CUST_00012,24,49,0,17.0,595.6666666666666,3.0,2.0,1.0,0.0,91.11,0.6666664444445185,0.0,True,True,False,False,False,True
CUST_00013,30,58,0,12.25,587.75,1.0,1.0,1.0,0.0,57.15,0.9999990000010001,0.0,True,False,False,False,False,True
CUST_00014,34,35,0,0.0,0.0,1.0,1.0,1.0,1.0,74.68,0.9999990000010001,0.9999990000010001,False,False,True,False,False,True
CUST_00015,22,50,0,13.5,473.0,3.0,2.0,4.0,1.0,72.2775,0.6666664444445185,0.24999993750001562,True,False,True,False,False,True
CUST_00016,24,40,0,14.0,708.0,0.0,0.0,1.0,1.0,88.95,0.0,0.9999990000010001,False,True,False,False,False,True
CUST_00017,42,12,0,17.333333333333332,650.0,3.0,2.0,5.0,0.0,70.982,0.6666664444445185,0.0,False,True,False,True,False,False
CUST_00018,56,16,1,20.0,535.25,1.0,1.0,0.0,0.0,80.1685,0.9999990000010001,0.0,False,False,False,False,True,False
CUST_00019,28,48,0,11.0,707.0,3.0,3.0,1.0,0.0,85.89,0.9999996666667778,0.0,True,False,False,False,False,True
CUST_00020,34,1,0,12.25,684.75,0.0,0.0,2.0,0.0,84.575,0.0,0.0,False,False,False,False,False,False
CUST_00021,22,65,0,12.5,500.5,1.0,1.0,2.0,0.0,64.67,0.9999990000010001,0.0,True,True,False,False,False,False
CUST_00022,48,22,0,13.571428571428571,731.7142857142857,1.0,1.0,2.0,0.0,95.625,0.9999990000010001,0.0,False,False,False,False,True,False
CUST_00023,25,15,0,17.333333333333332,725.0,0.0,0.0,1.0,0.0,66.21,0.0,0.0,False,False,False,False,True,False
CUST_00024,36,67,0,12.0,712.0,3.0,3.0,3.0,0.0,87.17999999999999,0.9999996666667778,0.0,False,False,True,False,False,False
CUST_00025,45,14,0,16.0,394.0,1.0,1.0,1.0,0.0,60.02,0.9999990000010001,0.0,False,False,True,False,True,False
CUST_00026,40,19,1,13.0,628.5,1.0,1.0,5.0,0.0,100.898,0.9999990000010001,0.0,False,False,True,False,True,False
CUST_00027,27,40,0,14.0,647.2,0.0,0.0,1.0,0.0,95.12,0.0,0.0,False,False,False,False,False,True
CUST_00028,40,4,0,13.0,598.6666666666666,0.0,0.0,1.0,0.0,74.71,0.0,0.0,False,True,False,False,False,False
CUST_00029,30,33,1,17.5,582.75,0.0,0.0,5.0,0.0,94.094,0.0,0.0,False,False,True,False,False,True
CUST_00030,57,43,0,15.5,610.5,0.0,0.0,1.0,0.0,68.86,0.0,0.0,True,True,False,False,False,True
CUST_00031,27,37,0,15.5,538.0,3.0,3.0,3.0,1.0,90.94,0.9999996666667778,0.33333322222225925,True,False,False,False,False,True
CUST_00032,61,66,0,14.4,598.4,0.0,0.0,2.0,0.0,85.88999999999999,0.0,0.0,False,False,False,False,False,False
CUST_00033,43,27,0,14.5,654.5,0.0,0.0,0.0,0.0,80.1685,0.0,0.0,False,False,True,False,False,True
CUST_00034,54,45,0,14.166666666666666,620.1666666666666,2.0,0.0,5.0,0.0,82.312,0.0,0.0,False,True,False,False,False,True
